SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-24-2020,Single Family Residential,13939 SE Fircrest St,Portland,OR,97236,546000,4,2.5,Portland Southeast,2850,7405,2007,,192,17,Sold,,,https://www.redfin.com/OR/Portland/13939-SE-Fircrest-St-97236/home/25768821,RMLS,20609620,N,Y,45.4643131,-122.5196772
PAST SALE,April-19-2021,Single Family Residential,4054 NE 9th Ave,Portland,OR,97212,788000,4,3.0,SABIN/ALBERTA ARTS,3639,4791,1924,,217,,Sold,,,https://www.redfin.com/OR/Portland/4054-NE-9th-Ave-97212/home/26411308,RMLS,21246514,N,Y,45.5528667,-122.656374
PAST SALE,May-26-2021,Single Family Residential,8509 N Newman Ave,Portland,OR,97203,535000,3,1.5,PORTSMOUTH,1334,4791,1960,,401,,Sold,,,https://www.redfin.com/OR/Portland/8509-N-Newman-Ave-97203/home/25841781,RMLS,21355777,N,Y,45.5846645,-122.7156552
PAST SALE,May-29-2020,Single Family Residential,5615 SE 115th Ave,Portland,OR,97266,365500,3,2.0,Portland Southeast,2132,19602,1962,,171,,Sold,,,https://www.redfin.com/OR/Portland/5615-SE-115th-Ave-97266/home/26315401,RMLS,20506903,N,Y,45.4817897,-122.5451904
PAST SALE,March-16-2021,Condo/Co-op,16449 NW Chadwick Way #208,Portland,OR,97229,308000,2,2.0,NW Washington Co or Sauvie Island,1057,,2018,,291,280,Sold,,,https://www.redfin.com/OR/Portland/16449-NW-Chadwick-Way-97229/unit-208/home/170144503,RMLS,21570370,N,Y,45.5694948,-122.8464335
PAST SALE,July-9-2021,Single Family Residential,13555 NW Thompson Rd,Portland,OR,97229,560000,3,2.0,NW Washington Co or Sauvie Island,1756,14810,1961,,319,,Sold,,,https://www.redfin.com/OR/Portland/13555-NW-Thompson-Rd-97229/home/26572077,RMLS,21576746,N,Y,45.5465949,-122.8164491
PAST SALE,August-31-2020,Condo/Co-op,1009 NW Hoyt St #205,Portland,OR,97209,610000,1,2.0,"Portland West, Raleigh Hills",1477,,1994,,413,615,Sold,,,https://www.redfin.com/OR/Portland/1009-NW-Hoyt-St-97209/unit-205/home/26323384,RMLS,20359407,N,Y,45.5276782,-122.6814685
PAST SALE,July-2-2021,Single Family Residential,4917 N Hudson St,Portland,OR,97203,476500,3,2.5,New Columbia/Portsmouth,1700,3049,2008,,280,102,Sold,,,https://www.redfin.com/OR/Portland/4917-N-Hudson-St-97203/home/25768734,RMLS,21221338,N,Y,45.5882593,-122.7173773
PAST SALE,July-24-2020,Condo/Co-op,12806 SW Boones Ferry Rd,Lake Oswego,OR,97035,400000,3,2.5,"Lake Oswego, West Linn",1174,,2005,,341,260,Sold,,,https://www.redfin.com/OR/Lake-Oswego/12806-SW-Boones-Ferry-Rd-97035/unit-103/home/25853766,RMLS,20113620,N,Y,45.432809,-122.7015019
PAST SALE,July-29-2020,Multi-Family (2-4 Unit),9012 SE Steele St,Portland,OR,97266,615000,4,3.5,LENTS PARK,2630,3484,2017,,234,,Sold,,,https://www.redfin.com/OR/Portland/9012-SE-Steele-St-97266/unit-A/home/109514499,RMLS,20079339,N,Y,45.48443,-122.570236
