Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SF,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
2021-06-23,Portland,97212,2013,3,4,740000,2030,2613,364.53,26991,2.775,9726.486486,146186
2021-05-21,Portland,97212,2013,5,4,1200000,3557,4791,337.36,26991,2.775,9726.486486,146186
2021-05-21,Portland,97212,1952,4,3,846000,3122,6098,270.98,26991,2.775,9726.486486,146186
2021-05-28,Portland,97212,2015,4,4,1300000,3358,4791,387.14,26991,2.775,9726.486486,146186
2021-06-14,Portland,97212,1957,3,3,1300000,3912,7405,332.31,26991,2.775,9726.486486,146186
2021-04-18,Portland,97212,2013,4,3,919000,2392,4791,384.2,26991,2.775,9726.486486,146186
2021-03-21,Portland,97212,1989,4,3,800000,2867,10454,279.04,26991,2.775,9726.486486,146186
2021-04-09,Portland,97212,2015,5,4,1465000,3755,4791,390.15,26991,2.775,9726.486486,146186
2021-03-04,Portland,97212,2016,4,4,1326400,3845,5662,344.97,26991,2.775,9726.486486,146186
2021-04-09,Portland,97212,1962,4,3,856000,2356,5662,363.33,26991,2.775,9726.486486,146186
2021-03-23,Portland,97212,2018,4,4,871000,2843,4356,306.37,26991,2.775,9726.486486,146186
2021-06-01,Portland,97212,2017,5,6,1337500,3644,2614,367.04,26991,2.775,9726.486486,146186
2020-08-26,Portland,97212,2017,3,3,807500,2031,3049,397.59,26991,2.775,9726.486486,146186
2020-12-30,Portland,97212,2018,5,4,1500000,4175,5662,359.28,26991,2.775,9726.486486,146186
2020-07-28,Portland,97212,1951,4,3,925000,3566,10018,259.39,26991,2.775,9726.486486,146186
2021-01-21,Portland,97212,2018,4,3,1303000,3255,4791,400.31,26991,2.775,9726.486486,146186
2020-11-29,Portland,97212,2013,4,3,883000,2598,4791,339.88,26991,2.775,9726.486486,146186
2020-10-08,Portland,97212,2003,3,2,839000,1986,4791,422.46,26991,2.775,9726.486486,146186
2020-10-13,Portland,97212,2009,4,3,695000,2410,2613,288.38,26991,2.775,9726.486486,146186
2020-08-05,Portland,97212,2015,5,3,1250000,3544,4791,352.71,26991,2.775,9726.486486,146186
2020-11-12,Portland,97212,1978,3,3,685000,3433,4791,199.53,26991,2.775,9726.486486,146186
2020-11-13,Portland,97212,2020,4,3,1200000,3049,4356,393.57,26991,2.775,9726.486486,146186
2020-11-30,Portland,97212,2015,4,4,875000,2728,2613,320.75,26991,2.775,9726.486486,146186
2020-12-27,Portland,97212,2016,6,5,1650000,4842,4791,340.77,26991,2.775,9726.486486,146186
2020-10-27,Portland,97212,1999,2,2.5,360000,1302,1595,276.5,26991,2.775,9726.486486,146186
2021-01-15,Portland,97212,1977,2,1,350000,880,5000,397.73,26991,2.775,9726.486486,146186
