Zip Code,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
97212,26991,2.775,9726.486486,146186.0
97206,50943,6.417,7938.756428,87404.0
97213,31777,4.092,7765.640274,104868.0
97215,17376,2.365,7347.145877,112734.0
97227,8113,1.126,7205.150977,109494.0
97214,17261,3.075,5613.333333,96678.0
97211,33153,6.996,4738.850772,107669.0
97027,11798,2.576,4579.968944,92998.0
97232,7836,1.915,4091.906005,87464.0
97267,29273,7.377,3968.144232,85929.0
97202,25489,7.498,3399.439851,113578.0
97035,19974,5.921,3373.416653,140650.0
97223,36174,10.838,3337.700683,104461.0
97222,29786,9.009,3306.249306,79481.0
97216,8123,2.529,3211.941479,70982.0
97201,6820,2.13,3201.877934,101606.0
97030,24410,7.626,3200.891686,64612.0
97219,37292,11.87,3141.701769,143475.0
97221,12921,4.188,3085.243553,186288.0
97266,17677,6.034,2929.565794,74418.0
97401,25271,9.364,2698.739855,65032.0
97220,21127,7.831,2697.86745,69069.0
97301,30320,11.465,2644.570432,58127.0
97225,17894,6.772,2642.350856,118799.0
97233,11131,4.593,2423.470499,58121.0
97239,8246,3.467,2378.425151,130573.0
97404,23794,10.052,2367.091126,79850.0
97224,21298,9.189,2317.771248,105065.0
97005,10772,4.979,2163.486644,73178.0
97403,7327,3.848,1904.106029,74194.0
97230,37095,19.871,1866.790801,76745.0
97062,26215,14.66,1788.199181,113680.0
97217,23368,13.14,1778.386606,103943.0
97209,1893,1.141,1659.07099,100830.0
97086,16335,9.971,1638.250928,119895.0
97477,18429,12.383,1488.25002,61041.0
97218,12655,8.66,1461.316397,75978.0
97302,35635,24.466,1456.511077,89500.0
97034,11964,8.339,1434.704401,194490.0
97008,7649,5.34,1432.397004,91244.0
97080,31446,23.246,1352.74886,97765.0
97205,1651,1.249,1321.857486,79657.0
97236,9853,7.614,1294.063567,69998.0
97210,9423,7.493,1257.573735,133214.0
97015,10796,8.797,1227.236558,93965.0
97007,18811,17.774,1058.343648,108969.0
97303,28778,28.081,1024.821053,78657.0
97006,7002,7.327,955.6435103,98207.0
97203,14753,15.985,922.9277448,82238.0
97229,19085,22.56,845.9663121,155336.0
97060,17039,21.793,781.8565594,89749.0
97118,672,0.98,685.7142857,83505.0
97124,30328,45.964,659.8207293,114264.0
97306,20354,33.245,612.2424425,93058.0
97089,12452,22.052,564.6653365,116132.0
97504,24685,44.247,557.8909305,83029.0
97068,12025,24.521,490.3959871,159411.0
97070,9318,19.406,480.160775,105897.0
97045,40600,85.623,474.1716595,100617.0
97123,25327,54.201,467.2792015,102215.0
97330,31064,74.532,416.7874202,84986.0
97032,7848,18.832,416.7374681,88468.0
97405,46041,121.193,379.8981789,97674.0
97132,22641,60.256,375.7468136,102329.0
97013,19463,56.572,344.0394541,91968.0
97305,15725,51.091,307.7841499,67318.0
97317,15675,54.353,288.392545,85716.0
97501,18346,64.304,285.3010699,58721.0
97009,8363,30.107,277.7759325,98745.0
97402,24722,93.415,264.6470053,59355.0
97322,15673,63.796,245.67371,71799.0
97051,9369,38.843,241.2017609,74967.0
97362,5150,22.201,231.9715328,71160.0
97053,2949,13.543,217.7508676,120855.0
97128,22844,112.434,203.1769749,82134.0
97365,7370,38.317,192.3428243,65209.0
97140,7864,44.128,178.208847,127500.0
97478,28059,165.664,169.3729477,76135.0
97325,4712,28.801,163.6054304,87051.0
97882,4701,28.784,163.3198999,55166.0
97338,20944,129.119,162.2069564,78871.0
97026,4666,28.809,161.9632754,92014.0
97071,9009,58.086,155.0976139,75768.0
97146,3699,24.152,153.1550182,81213.0
97116,15304,106.075,144.2752769,87386.0
97004,5829,41.902,139.110305,108677.0
97022,3074,23.034,133.4548928,95327.0
97366,1123,8.466,132.64824,80037.0
97383,6511,50.277,129.5025558,75258.0
97408,6149,48.104,127.8272077,106575.0
97455,3467,27.965,123.9763991,85330.0
97107,2392,19.845,120.5341396,67998.0
97502,11073,98.006,112.9828786,94996.0
97321,8019,72.012,111.3564406,90951.0
97352,5442,49.987,108.8683058,85988.0
97385,4282,39.873,107.3909663,91953.0
97002,4598,43.188,106.4647587,100091.0
97381,16483,168.628,97.74770501,98246.0
97448,12695,135.118,93.95491348,90396.0
97389,3624,38.605,93.87385054,75231.0
97055,12574,138.338,90.89331926,94638.0
97838,13235,145.986,90.6593783,78360.0
97056,9316,105.929,87.94569948,96063.0
97111,4121,48.268,85.37747576,85454.0
97114,4683,55.804,83.9187155,90307.0
97042,2124,25.881,82.06792628,97548.0
97333,8438,102.879,82.01868214,76451.0
97439,14655,179.878,81.4718865,69538.0
97109,1562,23.636,66.08563209,95211.0
97106,2993,46.374,64.54047527,122873.0
97437,1298,20.786,62.44587703,77069.0
97368,2900,47.384,61.20209353,55447.0
97048,5864,96.738,60.61733755,74533.0
97357,1839,30.84,59.63035019,52228.0
97417,1498,25.44,58.8836478,41145.0
97487,10149,173.493,58.49803738,70583.0
97392,2329,40.448,57.58010285,96731.0
97113,1916,34.166,56.07914301,90626.0
