Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,$/SqFt,$/SF
2021-04-23,Fairview,97024,2001,3,3.0,400000,1518,3484,263.5046113306983,263.5
2021-06-03,Gresham,97080,1982,4,3.0,512000,2724,9583,187.9588839941263,187.96
2021-06-03,Portland,97230,1953,3,1.0,348000,1217,13939,285.94905505341,285.95
2021-06-01,Gresham,97080,1967,3,2.0,404200,1150,7000,351.4782608695652,351.48
2021-05-21,Gresham,97030,1978,3,2.0,478200,2036,6969,234.87229862475442,234.87
2021-05-20,Gresham,97080,2018,4,2.0,530000,1947,4791,272.2136620441705,272.21
2021-05-12,Gresham,97080,2006,3,3.0,419900,1548,5009,271.2532299741602,271.25
2021-05-04,Gresham,97080,2017,3,3.0,550000,2209,5227,248.9814395654142,248.98
2021-04-09,Gresham,97080,1958,4,3.0,490300,2838,6480,172.76250880902043,172.76
2021-05-03,Gresham,97080,2018,4,4.0,600000,3180,4791,188.67924528301887,188.68
2021-03-31,Portland,97233,1968,3,2.0,380000,1248,7840,304.4871794871795,304.49
2021-04-01,Gresham,97030,1969,3,1.0,330000,1288,9147,256.2111801242236,256.21
2021-04-23,Gresham,97080,1974,3,3.0,465000,1772,11324,262.4153498871332,262.42
2021-02-26,Portland,97230,1962,3,1.0,387000,1328,6969,291.4156626506024,291.42
2020-12-21,Gresham,97080,2013,4,3.0,690000,3792,15245,181.9620253164557,181.96
2021-04-01,Portland,97233,1964,3,1.0,370000,946,6969,391.12050739957715,391.12
2021-04-01,Gresham,97030,1968,3,2.0,412000,1770,7405,232.7683615819209,232.77
2021-04-01,Gresham,97030,1976,4,3.0,220000,1976,7925,111.33603238866397,111.34
2021-03-31,Gresham,97030,1965,3,1.0,235000,1126,8199,208.70337477797514,208.7
2021-03-31,Portland,97233,1962,3,1.0,318000,864,6969,368.05555555555554,368.06
2020-11-23,Gresham,97080,1965,3,1.0,2495,1224,7500,2.0383986928104574,2.04
2021-03-31,Portland,97233,1963,3,1.0,360000,946,7405,380.5496828752643,380.55
2021-03-31,Gresham,97030,1971,3,2.0,440000,1672,10890,263.1578947368421,263.16
2021-03-29,Gresham,97030,1965,6,2.0,350000,1794,7000,195.0947603121516,195.09
2020-11-24,Gresham,97080,2005,4,3.0,420000,2281,4791,184.1297676457694,184.13
2021-03-29,Gresham,97030,1963,3,1.0,345000,890,6969,387.64044943820227,387.64
2021-03-24,Portland,97233,1980,3,2.0,225500,1280,7094,176.171875,176.17
2020-11-24,Gresham,97080,2004,3,2.0,450000,1717,7840,262.085032032615,262.09
2021-03-23,Gresham,97030,1973,3,1.0,288250,1160,6969,248.49137931034483,248.49
2021-03-23,Portland,97230,1954,3,2.0,383000,1500,9435,255.33333333333334,255.33
2020-11-29,Gresham,97080,2018,4,3.0,508000,2448,5227,207.51633986928104,207.52
2021-03-23,Gresham,97030,1985,3,2.0,175000,1112,7392,157.37410071942446,157.37
2021-03-23,Portland,97230,1956,3,1.0,362000,912,8712,396.9298245614035,396.93
2021-03-23,Portland,97233,1967,3,1.0,292600,1380,8276,212.02898550724638,212.03
2021-03-18,Portland,97230,1947,3,2.0,365000,1420,10890,257.0422535211268,257.04
2020-11-29,Gresham,97080,2007,4,2.0,642000,2733,17424,234.90669593852908,234.91
2021-03-18,Portland,97230,1968,4,1.0,386000,1386,6969,278.4992784992785,278.5
2021-03-18,Portland,97230,1986,3,2.0,525000,2086,8712,251.6778523489933,251.68
2021-03-18,Portland,97230,1957,3,1.0,320000,960,6098,333.3333333333333,333.33
2020-12-02,Gresham,97080,1976,4,3.0,459500,2066,10018,222.4104549854792,222.41
2021-03-18,Gresham,97030,1984,3,3.0,470000,2064,11325,227.71317829457365,227.71
2020-12-02,Gresham,97080,1954,2,1.0,300000,1224,80150,245.09803921568627,245.1
2021-03-12,Portland,97230,1963,4,2.0,415000,2016,6969,205.8531746031746,205.85
2021-03-12,Portland,97233,2000,4,3.0,420000,1504,9147,279.25531914893617,279.26
2021-03-12,Gresham,97030,1972,4,2.0,430000,1780,8712,241.57303370786516,241.57
2020-12-07,Gresham,97080,2006,4,3.0,500000,2987,5227,167.39203213927016,167.39
2021-03-09,Portland,97230,1964,4,2.0,416900,2337,10018,178.39109970047068,178.39
2021-03-09,Portland,97233,1960,4,3.0,438000,2431,11325,180.17276840806252,180.17
2021-03-09,Portland,97230,1989,5,4.0,595000,3500,13068,170.0,170.0
2021-03-04,Portland,97233,1956,3,1.0,353700,1200,8276,294.75,294.75
2021-03-04,Gresham,97030,1974,2,1.0,396800,1000,8210,396.8,396.8
2021-03-04,Gresham,97030,1968,3,1.0,400000,1176,7840,340.13605442176873,340.14
2021-03-03,Portland,97230,1987,3,2.0,502183,1974,6969,254.3986828774063,254.4
2021-03-03,Portland,97230,1955,4,2.0,419000,1609,7405,260.4101926662523,260.41
2021-03-01,Portland,97230,1957,3,2.0,437500,1662,9147,263.23706377858,263.24
2020-12-10,Gresham,97080,1999,5,3.0,455000,2182,5662,208.5242896425298,208.52
2021-03-01,Portland,97230,1956,2,1.0,355000,777,7405,456.8854568854569,456.89
2021-03-01,Gresham,97030,1974,4,2.0,420000,1810,7200,232.04419889502762,232.04
2021-02-26,Portland,97230,1973,4,3.0,435000,2980,6969,145.9731543624161,145.97
2021-02-26,Portland,97233,2007,2,3.0,309000,1122,2178,275.40106951871655,275.4
2021-02-26,Portland,97230,1962,3,1.0,340100,912,7405,372.9166666666667,372.92
2021-02-23,Portland,97230,1957,3,2.0,415000,1800,8276,230.55555555555554,230.56
2020-12-14,Gresham,97080,2008,5,5.0,610000,4411,5227,138.29063704375426,138.29
2020-12-14,Gresham,97030,2021,4,2.0,629900,2106,6969,299.09781576448245,299.1
2021-02-18,Portland,97230,1969,3,1.0,325000,1032,7300,314.92248062015506,314.92
2021-02-12,Portland,97230,1958,3,1.0,325000,960,8276,338.5416666666667,338.54
2021-02-04,Gresham,97030,1971,4,2.0,395000,1316,8276,300.15197568389056,300.15
2021-02-02,Gresham,97030,1969,3,2.0,378500,1156,6969,327.42214532871975,327.42
2021-02-04,Portland,97230,1961,4,2.0,300000,1888,7405,158.89830508474577,158.9
2021-01-21,Portland,97230,1997,8,4.0,590000,3300,21780,178.78787878787878,178.79
2021-01-21,Portland,97233,1956,5,3.0,415000,2160,9583,192.12962962962962,192.13
2021-01-21,Gresham,97030,1972,4,2.0,387550,2004,7405,193.3882235528942,193.39
2021-01-21,Portland,97230,1966,4,2.0,187500,1474,8900,127.20488466757124,127.2
2020-12-21,Gresham,97030,2006,4,3.0,459000,2548,6534,180.14128728414443,180.14
2020-12-10,Portland,97230,1964,3,1.0,349900,988,7405,354.1497975708502,354.15
2020-12-14,Gresham,97030,1972,4,2.0,396000,1910,10454,207.32984293193718,207.33
2020-12-13,Gresham,97030,1966,4,2.0,283000,1488,7200,190.18817204301075,190.19
2020-12-10,Gresham,97030,1973,3,2.0,362000,1664,8712,217.54807692307693,217.55
2020-12-07,Gresham,97030,1972,4,2.0,345000,1424,8295,242.27528089887642,242.28
2020-12-08,Portland,97233,1958,3,2.0,289900,1901,7405,152.4986849026828,152.5
2020-12-08,Gresham,97030,2003,4,3.0,508000,2858,6534,177.74667599720084,177.75
2020-12-02,Gresham,97030,1976,3,2.0,370000,1647,8712,224.6508803885853,224.65
2020-11-29,Gresham,97030,1970,3,2.0,380000,1480,7405,256.7567567567568,256.76
2020-11-24,Portland,97230,1956,3,1.0,343000,912,9147,376.0964912280702,376.1
2020-11-19,Portland,97230,1948,3,2.0,330000,1272,10018,259.4339622641509,259.43
2020-11-18,Gresham,97030,1974,4,2.0,391000,1736,6969,225.23041474654377,225.23
2020-11-13,Portland,97233,1996,3,2.0,330000,1568,15245,210.4591836734694,210.46
2020-11-12,Gresham,97030,1973,3,3.0,378500,1788,14810,211.6890380313199,211.69
2020-11-04,Portland,97233,1956,4,2.0,366500,1445,9147,253.6332179930796,253.63
2020-11-05,Portland,97233,1958,3,2.0,335000,1014,6969,330.37475345167655,330.37
2020-11-02,Portland,97230,1971,3,2.0,374900,1903,7840,197.00472937467157,197.0
2020-10-30,Gresham,97030,2015,3,4.0,540000,2736,8276,197.3684210526316,197.37
2020-10-30,Gresham,97030,1992,3,3.0,427000,1835,7405,232.69754768392372,232.7
2020-10-27,Portland,97230,2007,2,1.5,267000,1200,1500,222.5,222.5
2020-10-27,Portland,97233,1948,4,2.0,386000,1972,11325,195.74036511156186,195.74
2020-10-27,Gresham,97030,2002,3,3.0,490000,2011,5662,243.659870711089,243.66
2020-10-27,Gresham,97030,1966,5,2.0,408000,1717,7405,237.62376237623764,237.62
2020-10-30,Portland,97230,2002,4,3.0,470000,2726,6534,172.41379310344828,172.41
2020-10-27,Portland,97230,1980,4,3.0,385000,1948,6970,197.63860369609856,197.64
