Label (Grouping),Median income (dollars)
ZCTA5 89421,
    Households,
        Estimate,"16,635"
        Margin of Error,"±12,184"
    Families,
        Estimate,"42,917"
        Margin of Error,"±32,867"
    Married-couple families,
        Estimate,"83,276"
        Margin of Error,"±40,186"
    Nonfamily households,
        Estimate,"14,184"
        Margin of Error,"±1,132"
ZCTA5 97001,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,"57,500"
        Margin of Error,"±45,260"
    Married-couple families,
        Estimate,"58,542"
        Margin of Error,"±27,418"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97002,
    Households,
        Estimate,"73,462"
        Margin of Error,"±15,044"
    Families,
        Estimate,"81,905"
        Margin of Error,"±8,679"
    Married-couple families,
        Estimate,"83,367"
        Margin of Error,"±12,420"
    Nonfamily households,
        Estimate,"44,432"
        Margin of Error,"±9,909"
ZCTA5 97004,
    Households,
        Estimate,"93,388"
        Margin of Error,"±11,984"
    Families,
        Estimate,"100,344"
        Margin of Error,"±13,259"
    Married-couple families,
        Estimate,"105,083"
        Margin of Error,"±14,191"
    Nonfamily households,
        Estimate,"61,818"
        Margin of Error,"±36,739"
ZCTA5 97005,
    Households,
        Estimate,"56,821"
        Margin of Error,"±5,910"
    Families,
        Estimate,"70,542"
        Margin of Error,"±7,489"
    Married-couple families,
        Estimate,"81,563"
        Margin of Error,"±8,047"
    Nonfamily households,
        Estimate,"37,004"
        Margin of Error,"±4,213"
ZCTA5 97006,
    Households,
        Estimate,"83,955"
        Margin of Error,"±2,759"
    Families,
        Estimate,"89,196"
        Margin of Error,"±4,189"
    Married-couple families,
        Estimate,"102,857"
        Margin of Error,"±4,212"
    Nonfamily households,
        Estimate,"63,096"
        Margin of Error,"±5,553"
ZCTA5 97007,
    Households,
        Estimate,"87,360"
        Margin of Error,"±5,031"
    Families,
        Estimate,"97,647"
        Margin of Error,"±3,570"
    Married-couple families,
        Estimate,"108,173"
        Margin of Error,"±6,303"
    Nonfamily households,
        Estimate,"58,957"
        Margin of Error,"±6,597"
ZCTA5 97008,
    Households,
        Estimate,"74,082"
        Margin of Error,"±3,902"
    Families,
        Estimate,"93,472"
        Margin of Error,"±14,438"
    Married-couple families,
        Estimate,"114,239"
        Margin of Error,"±10,473"
    Nonfamily households,
        Estimate,"49,554"
        Margin of Error,"±5,307"
ZCTA5 97009,
    Households,
        Estimate,"79,599"
        Margin of Error,"±14,807"
    Families,
        Estimate,"92,976"
        Margin of Error,"±18,146"
    Married-couple families,
        Estimate,"100,368"
        Margin of Error,"±13,909"
    Nonfamily households,
        Estimate,"41,513"
        Margin of Error,"±25,689"
ZCTA5 97011,
    Households,
        Estimate,"71,000"
        Margin of Error,"±55,223"
    Families,
        Estimate,"84,076"
        Margin of Error,"±17,402"
    Married-couple families,
        Estimate,"92,647"
        Margin of Error,"±40,582"
    Nonfamily households,
        Estimate,"45,767"
        Margin of Error,"±14,822"
ZCTA5 97013,
    Households,
        Estimate,"77,002"
        Margin of Error,"±8,439"
    Families,
        Estimate,"89,214"
        Margin of Error,"±3,658"
    Married-couple families,
        Estimate,"96,971"
        Margin of Error,"±7,587"
    Nonfamily households,
        Estimate,"43,468"
        Margin of Error,"±9,824"
ZCTA5 97014,
    Households,
        Estimate,"52,632"
        Margin of Error,"±2,636"
    Families,
        Estimate,"53,750"
        Margin of Error,"±11,429"
    Married-couple families,
        Estimate,"100,847"
        Margin of Error,"±19,920"
    Nonfamily households,
        Estimate,"27,708"
        Margin of Error,"±20,492"
ZCTA5 97015,
    Households,
        Estimate,"77,720"
        Margin of Error,"±4,695"
    Families,
        Estimate,"94,040"
        Margin of Error,"±3,561"
    Married-couple families,
        Estimate,"100,960"
        Margin of Error,"±9,366"
    Nonfamily households,
        Estimate,"45,907"
        Margin of Error,"±9,465"
ZCTA5 97016,
    Households,
        Estimate,"52,807"
        Margin of Error,"±9,390"
    Families,
        Estimate,"72,730"
        Margin of Error,"±10,428"
    Married-couple families,
        Estimate,"82,222"
        Margin of Error,"±16,481"
    Nonfamily households,
        Estimate,"27,115"
        Margin of Error,"±9,136"
ZCTA5 97017,
    Households,
        Estimate,"67,969"
        Margin of Error,"±29,343"
    Families,
        Estimate,"98,381"
        Margin of Error,"±26,488"
    Married-couple families,
        Estimate,"109,167"
        Margin of Error,"±28,222"
    Nonfamily households,
        Estimate,"22,419"
        Margin of Error,"±14,440"
ZCTA5 97018,
    Households,
        Estimate,"82,137"
        Margin of Error,"±8,193"
    Families,
        Estimate,"85,625"
        Margin of Error,"±10,359"
    Married-couple families,
        Estimate,"93,313"
        Margin of Error,"±11,560"
    Nonfamily households,
        Estimate,"62,946"
        Margin of Error,"±36,524"
ZCTA5 97019,
    Households,
        Estimate,"87,760"
        Margin of Error,"±12,883"
    Families,
        Estimate,"99,076"
        Margin of Error,"±16,665"
    Married-couple families,
        Estimate,"103,600"
        Margin of Error,"±14,025"
    Nonfamily households,
        Estimate,"42,169"
        Margin of Error,"±20,587"
ZCTA5 97020,
    Households,
        Estimate,"73,125"
        Margin of Error,"±16,132"
    Families,
        Estimate,"73,281"
        Margin of Error,"±13,729"
    Married-couple families,
        Estimate,"85,667"
        Margin of Error,"±19,675"
    Nonfamily households,
        Estimate,"44,327"
        Margin of Error,"±22,192"
ZCTA5 97021,
    Households,
        Estimate,"64,861"
        Margin of Error,"±17,950"
    Families,
        Estimate,"74,896"
        Margin of Error,"±26,761"
    Married-couple families,
        Estimate,"86,250"
        Margin of Error,"±26,592"
    Nonfamily households,
        Estimate,"26,696"
        Margin of Error,"±16,314"
ZCTA5 97022,
    Households,
        Estimate,"83,664"
        Margin of Error,"±26,745"
    Families,
        Estimate,"84,332"
        Margin of Error,"±30,810"
    Married-couple families,
        Estimate,"104,292"
        Margin of Error,"±43,524"
    Nonfamily households,
        Estimate,"62,569"
        Margin of Error,"±26,208"
ZCTA5 97023,
    Households,
        Estimate,"62,073"
        Margin of Error,"±7,907"
    Families,
        Estimate,"72,605"
        Margin of Error,"±13,726"
    Married-couple families,
        Estimate,"77,745"
        Margin of Error,"±20,668"
    Nonfamily households,
        Estimate,"40,093"
        Margin of Error,"±9,047"
ZCTA5 97024,
    Households,
        Estimate,"60,434"
        Margin of Error,"±7,713"
    Families,
        Estimate,"83,845"
        Margin of Error,"±6,529"
    Married-couple families,
        Estimate,"103,684"
        Margin of Error,"±23,046"
    Nonfamily households,
        Estimate,"40,035"
        Margin of Error,"±6,399"
ZCTA5 97026,
    Households,
        Estimate,"70,329"
        Margin of Error,"±10,803"
    Families,
        Estimate,"77,069"
        Margin of Error,"±9,487"
    Married-couple families,
        Estimate,"88,563"
        Margin of Error,"±15,912"
    Nonfamily households,
        Estimate,"50,179"
        Margin of Error,"±17,261"
ZCTA5 97027,
    Households,
        Estimate,"70,677"
        Margin of Error,"±9,328"
    Families,
        Estimate,"86,804"
        Margin of Error,"±13,349"
    Married-couple families,
        Estimate,"110,054"
        Margin of Error,"±26,974"
    Nonfamily households,
        Estimate,"36,492"
        Margin of Error,"±14,181"
ZCTA5 97028,
    Households,
        Estimate,"63,807"
        Margin of Error,"±16,986"
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97029,
    Households,
        Estimate,"52,232"
        Margin of Error,"±21,678"
    Families,
        Estimate,"71,023"
        Margin of Error,"±18,502"
    Married-couple families,
        Estimate,"80,250"
        Margin of Error,"±13,778"
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97030,
    Households,
        Estimate,"53,700"
        Margin of Error,"±4,031"
    Families,
        Estimate,"63,492"
        Margin of Error,"±4,309"
    Married-couple families,
        Estimate,"78,131"
        Margin of Error,"±6,940"
    Nonfamily households,
        Estimate,"38,376"
        Margin of Error,"±5,018"
ZCTA5 97031,
    Households,
        Estimate,"76,434"
        Margin of Error,"±7,529"
    Families,
        Estimate,"90,372"
        Margin of Error,"±11,963"
    Married-couple families,
        Estimate,"108,313"
        Margin of Error,"±18,891"
    Nonfamily households,
        Estimate,"46,409"
        Margin of Error,"±12,171"
ZCTA5 97032,
    Households,
        Estimate,"76,725"
        Margin of Error,"±12,788"
    Families,
        Estimate,"83,523"
        Margin of Error,"±10,265"
    Married-couple families,
        Estimate,"89,063"
        Margin of Error,"±11,599"
    Nonfamily households,
        Estimate,"31,914"
        Margin of Error,"±19,250"
ZCTA5 97033,
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
ZCTA5 97034,
    Households,
        Estimate,"129,435"
        Margin of Error,"±13,045"
    Families,
        Estimate,"163,027"
        Margin of Error,"±8,045"
