ZIP_CODE,PO_NAME,STATE,zipCodePop,areaSqMile,PopDensity,MeaHHI
97212,Portland,OR,26991,2.775,9726.486486,146186
97206,Portland,OR,50943,6.417,7938.756428,87404
97213,Portland,OR,31777,4.092,7765.640274,104868
97215,Portland,OR,17376,2.365,7347.145877,112734
97227,Portland,OR,8113,1.126,7205.150977,109494
97214,Portland,OR,17261,3.075,5613.333333,96678
97211,Portland,OR,33153,6.996,4738.850772,107669
97027,Gladstone,OR,11798,2.576,4579.968944,92998
97232,Portland,OR,7836,1.915,4091.906005,87464
97267,Portland,OR,29273,7.377,3968.144232,85929
97003,Beaverton,OR,18514,4.784,3869.983278,
97202,Portland,OR,25489,7.498,3399.439851,113578
97035,Lake Oswego,OR,19974,5.921,3373.416653,140650
97223,Portland,OR,36174,10.838,3337.700683,104461
97222,Portland,OR,29786,9.009,3306.249306,79481
97216,Portland,OR,8123,2.529,3211.941479,70982
97201,Portland,OR,6820,2.13,3201.877934,101606
97030,Gresham,OR,24410,7.626,3200.891686,64612
97219,Portland,OR,37292,11.87,3141.701769,143475
97221,Portland,OR,12921,4.188,3085.243553,186288
97266,Portland,OR,17677,6.034,2929.565794,74418
97401,Eugene,OR,25271,9.364,2698.739855,65032
97220,Portland,OR,21127,7.831,2697.86745,69069
97301,Salem,OR,30320,11.465,2644.570432,58127
97225,Portland,OR,17894,6.772,2642.350856,118799
97233,Portland,OR,11131,4.593,2423.470499,58121
97239,Portland,OR,8246,3.467,2378.425151,130573
97404,Eugene,OR,23794,10.052,2367.091126,79850
97224,Portland,OR,21298,9.189,2317.771248,105065
97005,Beaverton,OR,10772,4.979,2163.486644,73178
97403,Eugene,OR,7327,3.848,1904.106029,74194
97230,Portland,OR,37095,19.871,1866.790801,76745
97062,Tualatin,OR,26215,14.66,1788.199181,113680
97217,Portland,OR,23368,13.14,1778.386606,103943
97078,Beaverton,OR,14023,8.333,1682.827313,
97209,Portland,OR,1893,1.141,1659.07099,100830
97086,Happy Valley,OR,16335,9.971,1638.250928,119895
97477,Springfield,OR,18429,12.383,1488.25002,61041
97218,Portland,OR,12655,8.66,1461.316397,75978
97302,Salem,OR,35635,24.466,1456.511077,89500
97034,Lake Oswego,OR,11964,8.339,1434.704401,194490
97008,Beaverton,OR,7649,5.34,1432.397004,91244
97080,Gresham,OR,31446,23.246,1352.74886,97765
97205,Portland,OR,1651,1.249,1321.857486,79657
97236,Portland,OR,9853,7.614,1294.063567,69998
97210,Portland,OR,9423,7.493,1257.573735,133214
97015,Clackamas,OR,10796,8.797,1227.236558,93965
97007,Beaverton,OR,18811,17.774,1058.343648,108969
97303,Salem,OR,28778,28.081,1024.821053,78657
97006,Beaverton,OR,7002,7.327,955.6435103,98207
97203,Portland,OR,14753,15.985,922.9277448,82238
97229,Portland,OR,19085,22.56,845.9663121,155336
97060,Troutdale,OR,17039,21.793,781.8565594,89749
97118,Garibaldi,OR,672,0.98,685.7142857,83505
97124,Hillsboro,OR,30328,45.964,659.8207293,114264
97306,Salem,OR,20354,33.245,612.2424425,93058
97089,Damascus,OR,12452,22.052,564.6653365,116132
97504,Medford,OR,24685,44.247,557.8909305,83029
97068,West Linn,OR,12025,24.521,490.3959871,159411
97070,Wilsonville,OR,9318,19.406,480.160775,105897
97045,Oregon City,OR,40600,85.623,474.1716595,100617
97123,Hillsboro,OR,25327,54.201,467.2792015,102215
97330,Corvallis,OR,31064,74.532,416.7874202,84986
97032,Hubbard,OR,7848,18.832,416.7374681,88468
97405,Eugene,OR,46041,121.193,379.8981789,97674
97132,Newberg,OR,22641,60.256,375.7468136,102329
97013,Canby,OR,19463,56.572,344.0394541,91968
97305,Salem,OR,15725,51.091,307.7841499,67318
97317,Salem,OR,15675,54.353,288.392545,85716
97501,Medford,OR,18346,64.304,285.3010699,58721
97009,Boring,OR,8363,30.107,277.7759325,98745
97402,Eugene,OR,24722,93.415,264.6470053,59355
97322,Albany,OR,15673,63.796,245.67371,71799
97051,Saint Helens,OR,9369,38.843,241.2017609,74967
97362,Mount Angel,OR,5150,22.201,231.9715328,71160
97053,Warren,OR,2949,13.543,217.7508676,120855
97128,McMinnville,OR,22844,112.434,203.1769749,82134
97365,Newport,OR,7370,38.317,192.3428243,65209
97140,Sherwood,OR,7864,44.128,178.208847,127500
97478,Springfield,OR,28059,165.664,169.3729477,76135
97325,Aumsville,OR,4712,28.801,163.6054304,87051
97882,Umatilla,OR,4701,28.784,163.3198999,55166
97338,Dallas,OR,20944,129.119,162.2069564,78871
97026,Gervais,OR,4666,28.809,161.9632754,92014
97071,Woodburn,OR,9009,58.086,155.0976139,75768
97146,Warrenton,OR,3699,24.152,153.1550182,81213
97116,Forest Grove,OR,15304,106.075,144.2752769,87386
97004,Beavercreek,OR,5829,41.902,139.110305,108677
97022,Eagle Creek,OR,3074,23.034,133.4548928,95327
97366,South Beach,OR,1123,8.466,132.64824,80037
97383,Stayton,OR,6511,50.277,129.5025558,75258
97408,Eugene,OR,6149,48.104,127.8272077,106575
97455,Pleasant Hill,OR,3467,27.965,123.9763991,85330
97107,Bay City,OR,2392,19.845,120.5341396,67998
97502,Central Point,OR,11073,98.006,112.9828786,94996
97321,Albany,OR,8019,72.012,111.3564406,90951
