,Sale Date,Home Type,City,Zip Code,Year Built,Bed,Bath,Sale Price,Property Tax Rate,Square Feet,Lot Size
1,2021-04-23,Single Family,Fairview,97024,2001,3,3.0,400000,1.12,1518,3484
2,2021-06-03,Single Family,Gresham,97080,1982,4,3.0,512000,1.12,2724,9583
3,2021-06-03,Single Family,Portland,97230,1953,3,1.0,348000,1.12,1217,13939
5,2021-06-01,Single Family,Gresham,97080,1967,3,2.0,404200,1.12,1150,7000
6,2021-05-21,Single Family,Gresham,97030,1978,3,2.0,478200,1.12,2036,6969
7,2021-05-20,Single Family,Gresham,97080,2018,4,2.0,530000,1.12,1947,4791
8,2021-05-12,Single Family,Gresham,97080,2006,3,3.0,419900,1.12,1548,5009
9,2021-05-04,Single Family,Gresham,97080,2017,3,3.0,550000,1.12,2209,5227
10,2021-04-09,Single Family,Gresham,97080,1958,4,3.0,490300,1.12,2838,6480
11,2021-05-03,Single Family,Gresham,97080,2018,4,4.0,600000,1.12,3180,4791
12,2021-03-31,Single Family,Portland,97233,1968,3,2.0,380000,1.12,1248,7840
13,2021-04-01,Single Family,Gresham,97030,1969,3,1.0,330000,1.12,1288,9147
15,2021-04-23,Single Family,Gresham,97080,1974,3,3.0,465000,1.12,1772,11324
16,2021-02-26,Single Family,Portland,97230,1962,3,1.0,387000,1.12,1328,6969
18,2020-12-21,Single Family,Gresham,97080,2013,4,3.0,690000,1.12,3792,15245
21,2021-04-01,Single Family,Portland,97233,1964,3,1.0,370000,1.12,946,6969
22,2021-04-01,Single Family,Gresham,97030,1968,3,2.0,412000,1.12,1770,7405
23,2021-04-01,Single Family,Gresham,97030,1976,4,3.0,220000,1.12,1976,7925
24,2021-03-31,Single Family,Gresham,97030,1965,3,1.0,235000,1.12,1126,8199
25,2021-03-31,Single Family,Portland,97233,1962,3,1.0,318000,1.12,864,6969
26,2020-11-23,Single Family,Gresham,97080,1965,3,1.0,2495,1.12,1224,7500
27,2021-03-31,Single Family,Portland,97233,1963,3,1.0,360000,1.12,946,7405
28,2021-03-31,Single Family,Gresham,97030,1971,3,2.0,440000,1.12,1672,10890
29,2021-03-29,Single Family,Gresham,97030,1965,6,2.0,350000,1.12,1794,7000
30,2020-11-24,Single Family,Gresham,97080,2005,4,3.0,420000,1.12,2281,4791
31,2021-03-29,Single Family,Gresham,97030,1963,3,1.0,345000,1.12,890,6969
33,2021-03-24,Single Family,Portland,97233,1980,3,2.0,225500,1.12,1280,7094
34,2020-11-24,Single Family,Gresham,97080,2004,3,2.0,450000,1.12,1717,7840
35,2021-03-23,Single Family,Gresham,97030,1973,3,1.0,288250,1.12,1160,6969
36,2021-03-23,Single Family,Portland,97230,1954,3,2.0,383000,1.12,1500,9435
37,2020-11-29,Single Family,Gresham,97080,2018,4,3.0,508000,1.12,2448,5227
38,2021-03-23,Single Family,Gresham,97030,1985,3,2.0,175000,1.12,1112,7392
39,2021-03-23,Single Family,Portland,97230,1956,3,1.0,362000,1.12,912,8712
40,2021-03-23,Single Family,Portland,97233,1967,3,1.0,292600,1.12,1380,8276
41,2021-03-18,Single Family,Portland,97230,1947,3,2.0,365000,1.12,1420,10890
42,2020-11-29,Single Family,Gresham,97080,2007,4,2.0,642000,1.12,2733,17424
43,2021-03-18,Single Family,Portland,97230,1968,4,1.0,386000,1.12,1386,6969
44,2021-03-18,Single Family,Portland,97230,1986,3,2.0,525000,1.12,2086,8712
45,2021-03-18,Single Family,Portland,97230,1957,3,1.0,320000,1.12,960,6098
46,2020-12-02,Single Family,Gresham,97080,1976,4,3.0,459500,1.12,2066,10018
48,2021-03-18,Single Family,Gresham,97030,1984,3,3.0,470000,1.12,2064,11325
49,2020-12-02,Single Family,Gresham,97080,1954,2,1.0,300000,1.12,1224,80150
50,2021-03-12,Single Family,Portland,97230,1963,4,2.0,415000,1.12,2016,6969
51,2021-03-12,Single Family,Portland,97233,2000,4,3.0,420000,1.12,1504,9147
52,2021-03-12,Single Family,Gresham,97030,1972,4,2.0,430000,1.12,1780,8712
53,2020-12-07,Single Family,Gresham,97080,2006,4,3.0,500000,1.12,2987,5227
55,2021-03-09,Single Family,Portland,97230,1964,4,2.0,416900,1.12,2337,10018
56,2021-03-09,Single Family,Portland,97233,1960,4,3.0,438000,1.12,2431,11325
