Sale Date,City,Zip Code,Year Built,Bed,Bath,Sale Price,Square Feet,Lot Size,Zip Population,Zip SqMi,Zip Pop Density,Zip Mean HHI
2021-06-03,Gresham,97080,1982,4,3.0,512000,2724,9583,31446,23.246,1352.74886,97765.0
2021-06-01,Gresham,97080,1967,3,2.0,404200,1150,7000,31446,23.246,1352.74886,97765.0
2021-05-20,Gresham,97080,2018,4,2.0,530000,1947,4791,31446,23.246,1352.74886,97765.0
2021-05-12,Gresham,97080,2006,3,3.0,419900,1548,5009,31446,23.246,1352.74886,97765.0
2021-05-04,Gresham,97080,2017,3,3.0,550000,2209,5227,31446,23.246,1352.74886,97765.0
2021-04-09,Gresham,97080,1958,4,3.0,490300,2838,6480,31446,23.246,1352.74886,97765.0
2021-05-03,Gresham,97080,2018,4,4.0,600000,3180,4791,31446,23.246,1352.74886,97765.0
2021-04-23,Gresham,97080,1974,3,3.0,465000,1772,11324,31446,23.246,1352.74886,97765.0
2020-12-21,Gresham,97080,2013,4,3.0,690000,3792,15245,31446,23.246,1352.74886,97765.0
2020-11-23,Gresham,97080,1965,3,1.0,2495,1224,7500,31446,23.246,1352.74886,97765.0
2020-11-24,Gresham,97080,2005,4,3.0,420000,2281,4791,31446,23.246,1352.74886,97765.0
2020-11-24,Gresham,97080,2004,3,2.0,450000,1717,7840,31446,23.246,1352.74886,97765.0
2020-11-29,Gresham,97080,2018,4,3.0,508000,2448,5227,31446,23.246,1352.74886,97765.0
2020-11-29,Gresham,97080,2007,4,2.0,642000,2733,17424,31446,23.246,1352.74886,97765.0
2020-12-02,Gresham,97080,1976,4,3.0,459500,2066,10018,31446,23.246,1352.74886,97765.0
2020-12-02,Gresham,97080,1954,2,1.0,300000,1224,80150,31446,23.246,1352.74886,97765.0
2020-12-07,Gresham,97080,2006,4,3.0,500000,2987,5227,31446,23.246,1352.74886,97765.0
2020-12-10,Gresham,97080,1999,5,3.0,455000,2182,5662,31446,23.246,1352.74886,97765.0
2020-12-14,Gresham,97080,2008,5,5.0,610000,4411,5227,31446,23.246,1352.74886,97765.0
2020-12-21,Gresham,97080,1994,4,2.0,445000,1984,10890,31446,23.246,1352.74886,97765.0
2020-12-21,Gresham,97080,1994,3,3.0,605000,3367,15681,31446,23.246,1352.74886,97765.0
2020-12-22,Gresham,97080,2008,4,3.0,617000,3049,10018,31446,23.246,1352.74886,97765.0
2020-12-29,Gresham,97080,1997,3,3.0,600000,2495,9147,31446,23.246,1352.74886,97765.0
2020-12-30,Gresham,97080,2006,4,3.0,406900,2072,5227,31446,23.246,1352.74886,97765.0
2021-01-01,Gresham,97080,2002,3,2.0,391500,1443,4791,31446,23.246,1352.74886,97765.0
2021-04-06,Gresham,97080,2019,5,3.0,581489,2892,4791,31446,23.246,1352.74886,97765.0
2021-04-15,Gresham,97080,1953,4,2.0,385000,1390,6950,31446,23.246,1352.74886,97765.0
2020-10-13,Gresham,97080,1966,3,2.0,625000,1869,100623,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,1996,4,3.0,505000,3092,7405,31446,23.246,1352.74886,97765.0
2020-11-18,Gresham,97080,2004,4,3.0,458000,2710,5227,31446,23.246,1352.74886,97765.0
2020-11-10,Gresham,97080,1973,3,3.0,600000,3594,81892,31446,23.246,1352.74886,97765.0
2020-11-05,Gresham,97080,1998,4,3.0,530000,2525,8712,31446,23.246,1352.74886,97765.0
2020-11-04,Gresham,97080,1978,5,3.0,440000,2784,10890,31446,23.246,1352.74886,97765.0
2020-11-04,Gresham,97080,2020,5,3.0,480400,2350,6398,31446,23.246,1352.74886,97765.0
2020-10-22,Gresham,97080,2018,4,2.0,445000,1942,5227,31446,23.246,1352.74886,97765.0
2020-10-21,Gresham,97080,2006,3,3.0,485990,2431,5227,31446,23.246,1352.74886,97765.0
2020-10-21,Gresham,97080,2017,4,3.0,530000,2704,5227,31446,23.246,1352.74886,97765.0
2020-10-19,Gresham,97080,2007,3,4.0,694900,4743,16117,31446,23.246,1352.74886,97765.0
2020-10-16,Gresham,97080,1985,4,2.0,508000,2682,10890,31446,23.246,1352.74886,97765.0
2020-10-15,Gresham,97080,1993,3,2.0,462000,1912,6969,31446,23.246,1352.74886,97765.0
2020-10-13,Gresham,97080,2016,5,3.0,508500,2580,4791,31446,23.246,1352.74886,97765.0
2020-10-08,Gresham,97080,2014,4,3.0,532000,2846,5662,31446,23.246,1352.74886,97765.0
2020-10-05,Gresham,97080,2007,4,4.0,625000,3971,6098,31446,23.246,1352.74886,97765.0
2020-10-02,Gresham,97080,2007,5,6.0,838900,6382,43995,31446,23.246,1352.74886,97765.0
2020-10-02,Gresham,97080,2002,3,3.0,575000,2995,9147,31446,23.246,1352.74886,97765.0
2020-09-30,Gresham,97080,1994,4,2.0,540000,2550,11761,31446,23.246,1352.74886,97765.0
2020-09-29,Gresham,97080,2003,3,3.0,483000,2192,6969,31446,23.246,1352.74886,97765.0
2020-09-24,Gresham,97080,1941,2,2.0,500000,1544,87120,31446,23.246,1352.74886,97765.0
2020-09-24,Gresham,97080,2004,4,3.0,420000,2610,4791,31446,23.246,1352.74886,97765.0
2020-09-24,Gresham,97080,1915,3,2.0,415000,1641,44866,31446,23.246,1352.74886,97765.0
2020-09-18,Gresham,97080,1974,5,3.0,955000,3285,155509,31446,23.246,1352.74886,97765.0
2020-09-13,Gresham,97080,1998,4,3.0,591000,2763,29185,31446,23.246,1352.74886,97765.0
2020-09-13,Gresham,97080,1999,4,3.0,444000,1816,6098,31446,23.246,1352.74886,97765.0
2020-09-10,Gresham,97080,1998,3,4.0,625000,4763,16988,31446,23.246,1352.74886,97765.0
2020-09-09,Gresham,97080,2000,4,3.0,420000,1839,6098,31446,23.246,1352.74886,97765.0
2020-09-04,Gresham,97080,2009,3,2.0,438900,1750,5227,31446,23.246,1352.74886,97765.0
2020-09-04,Gresham,97080,2011,4,2.0,442400,1708,4791,31446,23.246,1352.74886,97765.0
2020-09-01,Gresham,97080,2015,5,3.0,517000,2979,6098,31446,23.246,1352.74886,97765.0
2020-08-27,Gresham,97080,1992,4,2.0,488000,2416,9147,31446,23.246,1352.74886,97765.0
2020-08-27,Gresham,97080,2001,4,3.0,415000,2139,5227,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,2008,5,3.0,443000,2368,5227,31446,23.246,1352.74886,97765.0
2020-08-21,Gresham,97080,2019,5,3.0,533000,2892,4791,31446,23.246,1352.74886,97765.0
2020-07-10,Gresham,97080,1995,4,3.0,450000,2176,7840,31446,23.246,1352.74886,97765.0
2020-08-19,Gresham,97080,1994,4,3.0,415000,2194,6969,31446,23.246,1352.74886,97765.0
2020-08-19,Gresham,97080,2004,4,3.0,459000,2342,6098,31446,23.246,1352.74886,97765.0
2020-08-19,Gresham,97080,2018,4,3.0,659900,2384,9147,31446,23.246,1352.74886,97765.0
2020-08-18,Gresham,97080,1978,4,3.0,449999,2006,24393,31446,23.246,1352.74886,97765.0
2020-08-13,Gresham,97080,1996,3,2.0,500000,1834,16117,31446,23.246,1352.74886,97765.0
2020-08-13,Gresham,97080,2016,4,3.0,537500,3302,4791,31446,23.246,1352.74886,97765.0
2020-08-05,Gresham,97080,2014,3,2.0,440000,1768,5662,31446,23.246,1352.74886,97765.0
2020-07-30,Gresham,97080,2001,3,3.0,652300,4282,10890,31446,23.246,1352.74886,97765.0
2020-07-30,Gresham,97080,1994,4,3.0,500000,1982,12632,31446,23.246,1352.74886,97765.0
2020-07-30,Gresham,97080,2017,4,3.0,510000,2577,5662,31446,23.246,1352.74886,97765.0
2020-07-28,Gresham,97080,2002,3,3.0,459900,1744,5227,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,2008,4,4.0,699900,3661,13939,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,2000,4,3.0,425000,2143,5227,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,1996,3,3.0,519000,2381,13939,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,1993,4,2.0,410000,1851,9147,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,1999,4,5.0,825000,5185,21344,31446,23.246,1352.74886,97765.0
2020-07-27,Gresham,97080,1998,2,3.0,540000,2306,6098,31446,23.246,1352.74886,97765.0
2020-07-19,Gresham,97080,1997,4,3.0,434900,2288,6969,31446,23.246,1352.74886,97765.0
2020-07-24,Gresham,97080,2020,4,3.0,432900,1791,3484,31446,23.246,1352.74886,97765.0
2020-07-24,Gresham,97080,1999,3,3.0,485000,2128,8712,31446,23.246,1352.74886,97765.0
2020-07-24,Gresham,97080,2007,4,4.0,599000,3227,15245,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,1972,3,2.0,355000,1180,10018,31446,23.246,1352.74886,97765.0
2020-07-22,Gresham,97080,1977,3,3.0,409000,2351,8276,31446,23.246,1352.74886,97765.0
2020-07-16,Gresham,97080,2000,4,3.0,405000,2180,6534,31446,23.246,1352.74886,97765.0
2020-07-21,Gresham,97080,1979,4,3.0,435000,2114,10890,31446,23.246,1352.74886,97765.0
2020-07-13,Gresham,97080,2010,3,2.0,386000,1420,5227,31446,23.246,1352.74886,97765.0
2020-07-10,Gresham,97080,2006,4,3.0,399900,2168,7840,31446,23.246,1352.74886,97765.0
2020-07-10,Gresham,97080,2020,4,3.0,435000,1871,3484,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,2000,5,3.0,415000,2702,5662,31446,23.246,1352.74886,97765.0
2020-07-08,Gresham,97080,1974,4,3.0,430000,2364,9147,31446,23.246,1352.74886,97765.0
2021-03-18,Gresham,97080,2003,5,2.0,525000,2622,5662,31446,23.246,1352.74886,97765.0
